date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:43:45	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2026%20May%202026%2017:43:45%20GMT	https://hernehillfestival.org/robots.txt		(from )
18:43:46	307/307	---M--	302	error ('Found')	text/html	date:Tue,%2026%20May%202026%2017:43:46%20GMT	https://hernehillfestival.org/	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/index.html	(from )
18:43:46	306/306	---M--	302	error ('Found')	text/html	date:Tue,%2026%20May%202026%2017:43:46%20GMT	https://hernehillfestival.org/home/	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/home/index.html	(from https://hernehillfestival.org/)
18:43:46	10415/10415	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:43:46%20GMT	https://hernehillfestival.org/home	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/home.html	(from https://hernehillfestival.org/home/)
18:43:47	799/799	---M-Z	200	added ('OK')	text/css	etag:%2231f-633afee0f7dab-gzip%22	https://hernehillfestival.org/hhmf.css	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/hhmf.css	(from https://hernehillfestival.org/home)
18:43:47	49647/49647	---M--	200	added ('OK')	image/png	etag:%22c1ef-58900303f1880%22	https://hernehillfestival.org/favicon.png	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/favicon.png	(from https://hernehillfestival.org/home)
18:43:47	61794/61794	---M--	200	added ('OK')	image/png	etag:%22f162-58900307c2180%22	https://hernehillfestival.org/apple-touch-icon-120x120.png	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/apple-touch-icon-120x120.png	(from https://hernehillfestival.org/home)
18:43:48	68185/68185	---M--	200	added ('OK')	image/png	etag:%2210a59-58900307c2180%22	https://hernehillfestival.org/apple-touch-icon-152x152.png	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/apple-touch-icon-152x152.png	(from https://hernehillfestival.org/home)
18:43:48	382/382	---M-Z	200	added ('OK')	text/css	etag:%2217e-633afb7b1ead6-gzip%22	https://hernehillfestival.org/css/PageTexts.css?date=20260526	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/css/PageTextsb117.css	(from https://hernehillfestival.org/home)
18:43:49	208/208	---M-Z	200	added ('OK')	text/css	etag:%22d0-633b0470cd503-gzip%22	https://hernehillfestival.org/css/Layout/Wrappers/_StandardWrapper.css?date=20260526	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/css/Layout/Wrappers/_StandardWrapperb117.css	(from https://hernehillfestival.org/home)
18:43:49	929/929	---M-Z	200	added ('OK')	text/css	etag:%223a1-633b0473ba577-gzip%22	https://hernehillfestival.org/css/StructuredData/Navigation/Breadcrumbs.css?date=20260526	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/css/StructuredData/Navigation/Breadcrumbsb117.css	(from https://hernehillfestival.org/home)
18:43:49	589/589	---M-Z	200	added ('OK')	text/css	etag:%2224d-58900309aa600-gzip%22	https://hernehillfestival.org/css/custom-pages/Home.css?date=20260526	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/css/custom-pages/Homeb117.css	(from https://hernehillfestival.org/home)
18:43:50	4387/4387	---M-Z	200	added ('OK')	text/css	etag:%221123-633afee68d8d3-gzip%22	https://hernehillfestival.org/css/Layout/Header.css?date=20260526	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/css/Layout/Headerb117.css	(from https://hernehillfestival.org/home)
18:43:50	67240/67240	---M--	200	added ('OK')	image/png	etag:%22106a8-54ac961f6cf00%22	https://hernehillfestival.org/images/herne_hill_logo.png	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/images/herne_hill_logo.png	(from https://hernehillfestival.org/home)
18:43:51	71228/71228	---M--	200	added ('OK')	image/png	etag:%221163c-54e2c4e048580%22	https://hernehillfestival.org/images/herne_hill_school_circle_black.png	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/images/herne_hill_school_circle_black.png	(from https://hernehillfestival.org/home)
18:43:51	192/192	---M-Z	200	added ('OK')	text/css	etag:%22c0-58900308b63c0-gzip%22	https://hernehillfestival.org/css/Layout/Footer.css?date=20260526	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/css/Layout/Footerb117.css	(from https://hernehillfestival.org/home)
18:43:51	4036/4036	---M-Z	200	added ('OK')	text/javascript	etag:%22fc4-58ba8154281c0-gzip%22	https://unicms.co.uk/js/ACA/Layout/SlideShow.js	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/unicms.co.uk/js/ACA/Layout/SlideShow.js	(from https://hernehillfestival.org/home)
18:43:52	1033/1033	---M-Z	200	added ('OK')	text/javascript	etag:%22409-58e3170a5a980-gzip%22	https://hernehillfestival.org/js/Layout/Menu.js	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/js/Layout/Menu.js	(from https://hernehillfestival.org/home)
18:43:52	52465/52465	---M--	200	added ('OK')	image/png	etag:%22ccf1-58900306cdf40%22	https://hernehillfestival.org/images/Herne_Hill_School.png	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/images/Herne_Hill_School.png	(from https://hernehillfestival.org/home)
18:43:52	4648/4648	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:43:52%20GMT	https://hernehillfestival.org/archive	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/archive.html	(from https://hernehillfestival.org/home)
18:43:53	15449/15449	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:43:53%20GMT	https://hernehillfestival.org/programme	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/programme.html	(from https://hernehillfestival.org/home)
18:43:53	5583/5583	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:43:53%20GMT	https://hernehillfestival.org/excellence	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/excellence.html	(from https://hernehillfestival.org/home)
18:43:53	7147/7147	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20May%202026%2017:43:53%20GMT	https://hernehillfestival.org/sponsors	C:/Users/helen/hernehillfestivalarchive/Herne%20Hill%20Festival%20Archive/hernehillfestival.org/sponsors.html	(from https://hernehillfestival.org/home)
